语言代码,语言名称,使用的模型,样本数,成功率(%),准确率(%),CER(%),WER(%),平均响应时间(秒),状态
BN,孟加拉语,不支持,30,0.00,0.00,100.00,100.00,0.039,❌ 不支持
HI,印地语,devanagari_PP-OCRv5_mobile_rec,30,100.00,21.93,78.07,79.13,1.178,⚠️ 需改进
ID,印尼语,latin_PP-OCRv5_mobile_rec,30,100.00,99.90,0.10,0.10,0.735,⭐ 优秀
JA,日语,PP-OCRv5_server_rec,30,100.00,100.00,0.00,0.00,1.190,⭐ 优秀
KM,高棉语,不支持,30,0.00,0.00,100.00,100.00,0.048,❌ 不支持
KN,卡纳达语,不支持,30,0.00,0.00,100.00,100.00,0.035,❌ 不支持
KO,韩语,korean_PP-OCRv5_mobile_rec,30,100.00,89.43,10.57,10.57,0.940,✅ 良好
LO,老挝语,不支持,30,0.00,0.00,100.00,100.00,0.130,❌ 不支持
ML,马拉雅拉姆语,不支持,30,0.00,0.00,100.00,100.00,0.038,❌ 不支持
MN,蒙古语,cyrillic_PP-OCRv5_mobile_rec,30,100.00,0.09,99.91,99.91,0.804,⚠️ 需改进
MS,马来语,latin_PP-OCRv5_mobile_rec,30,100.00,99.81,0.19,0.19,0.750,⭐ 优秀
MY,缅甸语,不支持,30,0.00,0.00,100.00,100.00,0.055,❌ 不支持
NE,尼泊尔语,devanagari_PP-OCRv5_mobile_rec,30,100.00,30.64,69.36,71.01,0.950,⚠️ 需改进
SI,僧伽罗语,不支持,30,0.00,0.00,100.00,100.00,0.064,❌ 不支持
TA,泰米尔语,ta_PP-OCRv5_mobile_rec,30,100.00,76.58,23.42,23.61,0.869,✅ 良好
TE,泰卢固语,te_PP-OCRv5_mobile_rec,30,100.00,90.60,9.40,9.76,0.895,⭐ 优秀
TH,泰语,th_PP-OCRv5_mobile_rec,30,100.00,60.33,39.67,39.67,0.907,📊 一般
TL,菲律宾语,latin_PP-OCRv5_mobile_rec,30,100.00,99.70,0.30,0.30,0.728,⭐ 优秀
UG,维吾尔语,arabic_PP-OCRv5_mobile_rec,30,100.00,67.35,32.65,32.65,0.738,📊 一般
UR,乌尔都语,arabic_PP-OCRv5_mobile_rec,30,100.00,42.63,57.37,63.39,0.906,⚠️ 需改进
VI,越南语,latin_PP-OCRv5_mobile_rec,30,100.00,84.83,15.17,15.17,0.735,✅ 良好
ZH,简体中文,PP-OCRv5_server_rec,30,100.00,100.00,0.00,0.00,0.578,⭐ 优秀
ZH-HANT,繁体中文,PP-OCRv5_server_rec,30,100.00,100.00,0.00,0.00,0.564,⭐ 优秀
